# This is a continuation of trace file C:\EDT WS\GraduationWS\.metadata\trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2026-05-26 21:21:14.341
| derived_data_executor_9 | 2026-05-26 21:21:26.182 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.core.resources/.safetable/org.eclipse.core.resources |
| derived_data_executor_4 | 2026-05-26 21:21:26.181 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.jdt.core/nonChainingJarsCache |
| derived_data_executor_6 | 2026-05-26 21:21:26.180 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.core.resources/.root/1.tree |
| derived_data_executor_3 | 2026-05-26 21:21:26.179 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping deleted file because no top object and no FQN or FQN is too short: file=L/Graduation/.metadata/.plugins/org.eclipse.core.resources/.root/.markers.snap, FQN=null |
| derived_data_executor_6 | 2026-05-26 21:21:26.206 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.core.resources/.root/1.tree, originally changed objects=null |
| derived_data_executor_4 | 2026-05-26 21:21:26.204 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.jdt.core/nonChainingJarsCache, originally changed objects=null |
| derived_data_executor_9 | 2026-05-26 21:21:26.202 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.core.resources/.safetable/org.eclipse.core.resources, originally changed objects=null |
| derived_data_executor_7 | 2026-05-26 21:21:26.201 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.jdt.core/externalFilesCache, originally changed objects=null |
| derived_data_executor_8 | 2026-05-26 21:21:26.198 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.jdt.core/variablesAndContainers.dat, originally changed objects=null |
| derived_data_executor_5 | 2026-05-26 21:21:26.197 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.log, originally changed objects=null |
| derived_data_executor_2 | 2026-05-26 21:21:26.196 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping deleted file because no top object and no FQN or FQN is too short: file=L/Graduation/.metadata/.plugins/org.eclipse.core.resources/0.snap, FQN=null |
| derived_data_executor_4 | 2026-05-26 21:21:26.213 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.debug.core.prefs |
